N,CustoInsercao
1,1.00
1001,51.73
2001,56.43
3001,58.49
4001,60.84
5001,61.44
6001,63.14
7001,63.66
8001,63.49
9001,64.54
10001,64.79
11001,66.43
12001,66.10
13001,66.61
14001,66.76
15001,64.79
16001,67.40
17001,66.79
18001,67.29
19001,67.98
20001,68.18
21001,65.83
22001,68.42
23001,67.85
24001,67.97
25001,68.32
26001,66.92
27001,70.26
28001,68.48
29001,67.43
30001,68.18
31001,68.55
32001,68.52
33001,67.49
34001,69.32
35001,67.41
36001,67.40
37001,68.22
38001,67.17
39001,67.99
40001,68.88
41001,66.34
42001,68.75
43001,67.79
44001,68.69
45001,67.45
46001,67.69
47001,68.43
48001,66.51
49001,67.92
50001,68.35
51001,67.05
52001,67.89
53001,68.40
54001,66.01
55001,67.84
56001,65.68
57001,68.99
58001,67.71
59001,69.07
60001,68.63
61001,67.14
62001,68.04
63001,67.06
64001,67.68
65001,67.86
66001,68.38
67001,67.01
68001,68.79
69001,67.50
70001,68.89
71001,66.44
72001,67.07
73001,67.59
74001,68.15
75001,67.29
76001,69.21
77001,67.10
78001,67.22
79001,68.21
80001,67.85
81001,69.27
82001,68.87
83001,68.49
84001,67.47
85001,67.76
86001,66.39
87001,68.21
88001,67.60
89001,67.56
90001,67.65
91001,66.58
92001,67.02
93001,67.28
94001,67.07
95001,67.66
96001,67.35
97001,68.27
98001,66.69
99001,67.52
