N,CustoRemocao
1,1.00
1001,16.84
2001,17.91
3001,19.92
4001,19.30
5001,19.47
6001,23.50
7001,22.42
8001,22.30
9001,22.52
10001,22.64
11001,23.95
12001,24.35
13001,24.15
14001,24.04
15001,23.30
16001,23.44
17001,23.56
18001,23.48
19001,23.60
20001,23.98
21001,25.00
22001,25.41
23001,25.08
24001,25.53
25001,25.11
26001,25.15
27001,24.78
28001,24.82
29001,24.35
30001,24.43
31001,24.25
32001,24.38
33001,24.59
34001,24.42
35001,24.26
36001,24.68
37001,24.21
38001,24.95
39001,25.54
40001,25.66
41001,26.53
42001,27.47
43001,27.88
44001,29.01
45001,29.85
46001,28.95
47001,29.46
48001,28.83
49001,28.83
50001,28.52
51001,27.97
52001,28.55
53001,28.09
54001,28.56
55001,27.83
56001,27.61
57001,27.92
58001,27.61
59001,27.64
60001,27.87
61001,27.38
62001,27.41
63001,27.28
64001,27.36
65001,27.34
66001,27.37
67001,27.77
68001,27.64
69001,27.33
70001,27.69
71001,27.80
72001,27.16
73001,28.10
74001,28.17
75001,27.54
76001,27.71
77001,27.27
78001,27.77
79001,27.89
80001,28.37
81001,28.64
82001,28.77
83001,28.63
84001,29.17
85001,30.10
86001,29.20
87001,29.68
88001,29.93
89001,29.66
90001,29.71
91001,29.70
92001,29.58
93001,29.15
94001,30.06
95001,29.56
96001,29.59
97001,29.15
98001,29.24
99001,28.73
